SKU,Name,Item Id,Product URL,Ad Orders,Clicks,CVR (Orders)
"187490000113","Zero Odor Multi-Purpose Odor Eliminator Spray Home Air & Surface Deodorizer 8 oz","45836429","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Home-Air-Surface-Deodorizer-8-oz/45836429",96,1159,0.08283002588438308
"187490000038","Zero Odor Pet Odor Eliminator Air & Surface Deodorizer for Dog Cat Urine Carpet 64 oz","611303361","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Air-Surface-Deodorizer-for-Dog-Cat-Urine-Carpet-64-oz/611303361",1,89,0.011235955056179775
"187490000052","Zero Odor Laundry Odor Eliminator Deodorizer Additive Smell Remover 64 oz","498053157","http://www.walmart.com/ip/Zero-Odor-Laundry-Odor-Eliminator-Deodorizer-Additive-Smell-Remover-64-oz/498053157",7,56,0.125
"187490000137","Zero Odor Molecular Odor Eliminator Spray Multi-Purpose Air & Surface Deodorizer Smell Remover 16 oz","47657386","http://www.walmart.com/ip/Zero-Odor-Molecular-Odor-Eliminator-Spray-Multi-Purpose-Air-Surface-Deodorizer-Smell-Remover-16-oz/47657386",141,2431,0.05800082270670506
"187490000014","Zero Odor Multi-Purpose Odor Eliminator Spray Refill Air & Surface Deodorizer 128 oz","721648217","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Refill-Air-Surface-Deodorizer-128-oz/721648217",0,4,0
"187490000656","Zero Odor Pet Odor Eliminator Spray Kit with Litter Box Deodorizer and Stain Remover Set of 3","435531915","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-Kit-with-Litter-Box-Deodorizer-and-Stain-Remover-Set-of-3/435531915",2,36,0.05555555555555555
"187490000106","Zero Odor Odor Eliminator Spray Refill Multi-Purpose Home Air & Surface Deodorizer 64 oz","121565189","http://www.walmart.com/ip/Zero-Odor-Odor-Eliminator-Spray-Refill-Multi-Purpose-Home-Air-Surface-Deodorizer-64-oz/121565189",3,62,0.04838709677419355
"187490000007","Zero Odor Litter Box Odor Eliminator Refill Cat Kitty Litter Deodorizer Pet Smell Remover 64 oz","133220217","http://www.walmart.com/ip/Zero-Odor-Litter-Box-Odor-Eliminator-Refill-Cat-Kitty-Litter-Deodorizer-Pet-Smell-Remover-64-oz/133220217",0,10,0
"187490000274","Zero Odor Pet Odor Eliminator Deodorizer for Dog Cat Urine Carpet Smell Remover 128 oz Refill","416192867","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Deodorizer-for-Dog-Cat-Urine-Carpet-Smell-Remover-128-oz-Refill/416192867",0,9,0
"187490000205","Zero Odor Pet Odor Eliminator Spray Deodorizer for Dog Cat Urine Smell Remover 16 oz","30193995","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-Deodorizer-for-Dog-Cat-Urine-Smell-Remover-16-oz/30193995",85,1080,0.0787037037037037
"187490000533","Zero Odor Laundry Odor Eliminator Additive Deodorizer Smell Remover 16 oz","46703313","http://www.walmart.com/ip/Zero-Odor-Laundry-Odor-Eliminator-Additive-Deodorizer-Smell-Remover-16-oz/46703313",6,96,0.0625
"187490000236","Zero Odor Pet Odor Eliminator Spray Stain Remover Urine Cleaner Deodorizer 16 oz","30215373","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-Stain-Remover-Urine-Cleaner-Deodorizer-16-oz/30215373",25,387,0.06459948320413436
"187490000144","Zero Odor Multi-Purpose Odor Eliminator Spray Home Air & Surface Deodorizer 22 oz","289662368","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Home-Air-Surface-Deodorizer-22-oz/289662368",12,288,0.041666666666666664
"187490000984","Zero Odor Laundry Odor Eliminator Kit for Workout Clothes Bedding with Multi-Purpose Deodorizer","777636288","http://www.walmart.com/ip/Zero-Odor-Laundry-Odor-Eliminator-Kit-for-Workout-Clothes-Bedding-with-Multi-Purpose-Deodorizer/777636288",7,132,0.05303030303030303
"187490000960","Zero Odor Multi-Purpose Odor Eliminator Spray 2 Pack Air & Surface Deodorizer 8 oz","373799416","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-2-Pack-Air-Surface-Deodorizer-8-oz/373799416",2,33,0.06060606060606061
"187490000045","Zero Odor Stain Remover and Odor Eliminator for Carpet Furniture Rugs Linens 32 fl oz","251785240","http://www.walmart.com/ip/Zero-Odor-Stain-Remover-and-Odor-Eliminator-for-Carpet-Furniture-Rugs-Linens-32-fl-oz/251785240",13,256,0.05078125
"187490000649","Zero Odor Pet Odor Eliminator Spray and Stain Remover Kit Smell Remover Deodorizer","805825738","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-and-Stain-Remover-Kit-Smell-Remover-Deodorizer/805825738",2,25,0.08
"187490000809","Zero Odor Commercial Odor Eliminator Spray Air & Surface Deodorizer Smell Remover Refill 128 oz","109168865","http://www.walmart.com/ip/Zero-Odor-Commercial-Odor-Eliminator-Spray-Air-Surface-Deodorizer-Smell-Remover-Refill-128-oz/109168865",1,62,0.016129032258064516
"187490000489","Zero Odor Stain Remover and Odor Eliminator for Carpet Furniture Rugs Linens 16 fl oz","1603483113","http://www.walmart.com/ip/Zero-Odor-Stain-Remover-and-Odor-Eliminator-for-Carpet-Furniture-Rugs-Linens-16-fl-oz/1603483113",0,0,0
"187490000250","Zero Odor Multi-Purpose Odor Eliminator Spray Kit Home Air & Surface Deodorizer 3 Pack","709614514","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Kit-Home-Air-Surface-Deodorizer-3-Pack/709614514",55,1365,0.040293040293040296
